smiles,is_potent_any,split
OCC1NC(CO)[C@H](O)[C@@H](O)[C@@H]1O,1,train
CNC(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1,1,train
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(C)=O)CC2,1,train
O=C(Cc1ccc(Cl)c(Cl)c1)N1CCCCC1CN1CCC(O)C1,1,train
CCCCCCC(=O)N1CSC[C@H]1C(=O)N1CCCC1,1,train
COc1cccc(-n2nc(C(=O)Nc3cc(Cl)cc(Cl)c3)cc2C)c1,1,train
CC1(O)c2ccccc2C2=NCCN21,0,train
N#C/C(C(=O)Nc1ccc(C(F)(F)F)cc1)=C(/O)C1CCCC1,0,train
CONC(=O)Nc1ccc(-c2nc3n(Cc4c(F)cccc4F)cc(C(=O)OC(C)C)c(=O)n3c2CN(C)Cc2ccccc2)cc1,1,train
COc1ccc(-c2cc(Oc3ccc([N+](=O)[O-])cc3)nnc2-c2ccc(OC)cc2)cc1,1,train
CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Cl)c1OC,1,train
NS(=O)(=O)Oc1ccc(Cl)cc1,0,train
N=C(N)N[C@@H](C(=O)NCC(=O)N1CCC(c2cc(-c3ccc(Cl)c(Cl)c3)[nH]n2)CC1)C1CCCCC1,0,train
Cc1nc(C)c2c(n1)N(Cc1ccc(-c3ccccc3-c3nn[nH]n3)cc1)CCC2,1,train
COc1ccc(S(=O)(=O)N2CCN(C(=O)c3cccs3)CC2C(=O)NO)cc1,1,train
NC(=O)c1csc([C@@H]2O[C@H](COP(=O)(O)CP(=O)(O)OC[C@@H]3O[C@H](n4cnc5c(N)ncnc54)[C@@H](O)[C@H]3O)[C@@H](O)[C@H]2O)n1,0,train
COc1c(O)cc(Cl)c(Nc2ccccc2CC(=O)O)c1Cl,0,train
CNC(=O)c1cc2c(Oc3ccc(/C=C/C(=O)NCCN(CCO)CCO)cc3)cncc2s1,1,train
O=c1oc(NC2NCCS2)nc2ccccc12,0,train
COc1cc(/C=C/c2cnc3nc(N)nc(N)c3c2)cc(OC)c1OC,1,train
NC(=O)[C@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)NC(=O)[C@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)NCc1cc(Br)cc(C2(C(F)(F)F)N=N2)c1,1,train
O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,1,train
COc1ccc(-n2nc(-c3ccncc3)c(-c3ccc(F)cc3)n2)cc1OC,1,train
Cc1cccc2c1C(O)=C1C(=O)C3C(O)=C(C(=O)NCN4CCN(C(=N)N=C(N)N)CC4)C(=O)[C@@H](N(C)C)[C@@H]3C[C@@H]1C2(C)O,1,train
Cc1cc(-c2c(O)nc3cc(Cl)c(C(=O)Nc4ncccn4)cc3c2OCC[C@@H]2CCN2)cc(C)c1C,1,train
c1ccc(-c2cnc(Nc3cnccn3)s2)cc1,1,train
CCCCC(=O)N[C@H]1CC(=O)NCCCC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H]2Cc3ccccc3CN2C1=O,1,train
COc1cc(C(=O)N2CCN(C(=O)c3cc(OC)c(OC)c(OC)c3)C(COC(=O)NCCC(C)C)C2)cc(OC)c1OC,1,train
C[n+]1ccc2c([nH]c3ccccc32)c1-c1ccccc1,0,train
CN(C)Cc1ccc(C2(O)c3ccccc3C3=NCCN32)cc1,1,train
O=C(O)C(=O)CC(=O)c1cccc(Cc2cccc(Cl)c2)c1,1,train
Oc1nc2cc3cc(OCCCc4nnnn4C4CCN(Cc5ccccc5)CC4)ccc3[nH]c-2n1,1,train
c1ccc(CCN2CCC(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,1,train
Cc1cccc(NC(=O)Nc2ccc3cncnc3c2)c1,1,train
COC(=O)COc1cccn2c(Cc3ccccc3-c3ccccc3)c(C)c(C(=O)C(N)=O)c12,1,train
